Sun Apr 28 19:45:48 2024    profile_results.prof

         1411520288 function calls (1401943756 primitive calls) in 5514.599 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1200040    1.489    0.000    6.853    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:573(__init__)
  4966508    3.518    0.000    6.799    0.000 {built-in method _abc._abc_instancecheck}
    31694    0.191    0.000    6.746    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:6216(sort_values)
 10799991    2.030    0.000    6.624    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\base.py:43(<genexpr>)
   271558    0.667    0.000    6.568    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:922(subframe)
  5258285    4.262    0.000    6.374    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4587(__getitem__)
 44271872    6.327    0.000    6.327    0.000 {method 'add' of 'set' objects}
  3599796    2.868    0.000    6.239    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:574(is_dtype_equal)
    77882    0.179    0.000    6.183    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:1218(iterrows)
   135779    0.128    0.000    6.035    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:157(<dictcomp>)
  5974557    6.011    0.000    6.011    0.000 C:\Users\Nihal\anaconda3\lib\ctypes\__init__.py:509(cast)
  3614334    3.513    0.000    5.948    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:577(name)
   135779    0.367    0.000    5.907    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:149(_process_nodes)
  1765136    0.920    0.000    5.902    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\torch\utils\dlpack.py:49(from_dlpack)
 15441073    3.773    0.000    5.800    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1543(get_dtype)
   135785    0.309    0.000    5.784    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:57(__init__)
   407337    0.650    0.000    5.637    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:185(min)
  1168215    1.430    0.000    5.607    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\common.py:100(is_bool_indexer)
  2579825    2.128    0.000    5.518    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\ndarray.py:113(_make_array)
  3536351    1.842    0.000    5.503    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:1194(_set_as_cached)
   135785    1.090    0.000    5.421    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:126(_init)
  1168236    0.783    0.000    5.291    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:5558(_consolidate_inplace)
  3692115    2.339    0.000    5.024    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5695(_maybe_cast_indexer)
   407337    4.987    0.000    4.987    0.000 {built-in method torch.min}
  1222128    3.360    0.000    4.941    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\object.py:28(_return_object)
        4    0.000    0.000    4.890    1.222 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:3297(to_csv)
        4    0.000    0.000    4.890    1.222 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\format.py:1056(to_csv)
        4    0.000    0.000    4.888    1.222 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:232(save)
3615741/3615722    1.617    0.000    4.877    0.000 {built-in method builtins.all}
        4    0.000    0.000    4.875    1.219 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:259(_save)
        4    0.058    0.015    4.875    1.219 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:292(_save_body)
      108    0.003    0.000    4.816    0.045 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:302(_save_chunk)
  4834753    2.600    0.000    4.748    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1578(_is_dtype_type)
  1765136    4.294    0.000    4.709    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\ndarray.py:89(to_dlpack)
   678901    4.643    0.000    4.643    0.000 {built-in method torch.as_tensor}
  1168236    1.395    0.000    4.508    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:5544(_protect_consolidate)
  1765136    0.919    0.000    4.461    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\function.py:270(<lambda>)
  1765136    4.436    0.000    4.436    0.000 {built-in method torch._C._from_dlpack}
   407343    0.326    0.000    4.369    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:74(metagraph)
  3504649    1.126    0.000    4.225    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\algorithms.py:227(_ensure_arraylike)
  4736256    1.995    0.000    4.168    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:184(is_array_like)
   135779    0.381    0.000    4.156    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:507(successors)
    28484    0.155    0.000    4.146    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1147(__str__)
   135779    0.426    0.000    3.998    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:160(<listcomp>)
  2579825    3.579    0.000    3.867    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\ndarray.py:81(__del__)
    28484    0.748    0.000    3.767    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:352(format_meter)
271615/135806    0.533    0.000    3.602    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\object_generic.py:27(convert_to_object)
  3692224    1.340    0.000    3.545    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:674(_values)
   678895    3.499    0.000    3.499    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
  3505238    3.480    0.000    3.480    0.000 {method 'astype' of 'numpy.ndarray' objects}
  3568062    3.052    0.000    3.378    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4537(__contains__)
  1086238    1.571    0.000    3.367    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\torch\_tensor.py:996(__len__)
   679027    0.445    0.000    3.305    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\container.py:45(__len__)
  1765136    1.789    0.000    3.289    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\ndarray.py:48(_dlpack_deleter)
2996874/2993704    0.708    0.000    3.286    0.000 C:\Users\Nihal\anaconda3\lib\abc.py:121(__subclasscheck__)
  7228658    1.768    0.000    3.257    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1737(<genexpr>)
    85452    0.083    0.000    3.202    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:309(disp_len)
  3614304    2.573    0.000    3.196    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1539(__init__)
  7292124    2.141    0.000    3.167    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:321(is_hashable)
   543128    0.990    0.000    3.144    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:588(__init__)
  8950400    2.225    0.000    3.111    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\common.py:155(cast_scalar_indexer)
   814689    3.075    0.000    3.075    0.000 {built-in method torch._C._to_dlpack}
    85452    0.081    0.000    3.026    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:305(_text_width)
  3599749    2.961    0.000    2.961    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:261(make_block_same_class)
    85480    0.699    0.000    2.945    0.000 {built-in method builtins.sum}
  3631886    2.935    0.000    2.935    0.000 {built-in method numpy.arange}
   135779    0.131    0.000    2.809    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:1034(<listcomp>)
  3614296    2.414    0.000    2.775    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:528(_set_axis)
  1168236    0.883    0.000    2.727    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:5562(f)
 10590825    2.697    0.000    2.697    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\ndarray.py:209(<genexpr>)
