Mon Apr 29 22:09:27 2024    profile_results.prof

         124232351 function calls (123790590 primitive calls) in 804.139 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31923    0.034    0.000    0.250    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:144(_isna)
476094/475896    0.192    0.000    0.247    0.000 {built-in method builtins.hasattr}
    95228    0.092    0.000    0.243    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\base.py:41(shape)
   236715    0.238    0.000    0.238    0.000 {built-in method numpy.empty}
   312143    0.160    0.000    0.234    0.000 <frozen importlib._bootstrap>:398(parent)
    77893    0.222    0.000    0.222    0.000 {pandas._libs.lib.infer_datetimelike_array}
    95176    0.032    0.000    0.222    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numpy\core\_methods.py:55(_any)
   700938    0.146    0.000    0.221    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3084(is_device_memory)
    77893    0.080    0.000    0.215    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\construction.py:780(is_empty_data)
   311542    0.214    0.000    0.214    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devicearray.py:556(flags)
    31747    0.123    0.000    0.205    0.000 {method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
   389408    0.096    0.000    0.205    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3095(require_device_memory)
   109596    0.069    0.000    0.201    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:674(_values)
   111741    0.059    0.000    0.197    0.000 {built-in method builtins.any}
    95200    0.192    0.000    0.192    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    77901    0.152    0.000    0.191    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\_config\config.py:565(_get_root)
    31698    0.191    0.000    0.191    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
   459838    0.188    0.000    0.191    0.000 {built-in method _abc._abc_instancecheck}
    31919    0.081    0.000    0.190    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:221(_isna_array)
        3    0.000    0.000    0.185    0.062 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\data\graph_serialize.py:83(save_graphs)
    31698    0.091    0.000    0.180    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexers.py:249(maybe_convert_indices)
        3    0.000    0.000    0.180    0.060 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\data\heterograph_serialize.py:22(save_heterographs)
   233679    0.108    0.000    0.180    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:516(__exit__)
    77893    0.047    0.000    0.179    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\common.py:526(require_length_match)
109857/109853    0.062    0.000    0.177    0.000 {built-in method builtins.all}
   155785    0.092    0.000    0.177    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:1347(prepare_for_use)
  2414318    0.175    0.000    0.175    0.000 {built-in method _ctypes.addressof}
    31694    0.059    0.000    0.172    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:1636(_is_label_reference)
   110482    0.132    0.000    0.170    0.000 C:\Users\Nihal\anaconda3\lib\contextlib.py:86(__init__)
    63392    0.053    0.000    0.168    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\algorithms.py:1427(take)
